unique_id	Manuscript	Editor	Final.Decision.Type	referees_clean	indiv_referees	name	gender	probability	count
1	EMBOJ-2014-89809	Dumstrei, Karin	By author	Mickie Bhatia,Paul Tesar,Catherina Becker	Mickie Bhatia	Mickie	female	0.88	25
2	EMBOJ-2014-89809	Dumstrei, Karin	By author	Mickie Bhatia,Paul Tesar,Catherina Becker	Paul Tesar	Paul	male	1	5931
3	EMBOJ-2014-89809	Dumstrei, Karin	By author	Mickie Bhatia,Paul Tesar,Catherina Becker	Catherina Becker	Catherina	female	1	13
4	EMBOJ-2014-90556	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Edward Harhaj,Adolfo Garcia-Sastre	Edward Harhaj	Edward	male	1	1015
5	EMBOJ-2014-90556	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Edward Harhaj,Adolfo Garcia-Sastre	Adolfo Garcia-Sastre	Adolfo	male	1	192
6	EMBOJ-2014-90666	Dumstrei, Karin	Reject post review	Eric Gouaux,Alexander Sobolevsky	Eric Gouaux	Eric	male	1	4110
7	EMBOJ-2014-90666	Dumstrei, Karin	Reject post review	Eric Gouaux,Alexander Sobolevsky	Alexander Sobolevsky	Alexander	male	1	1645
8	EMBOJ-2014-90786	Dumstrei, Karin	Revise and Re-review	Rafi Ahmed,Mark Smyth	Rafi Ahmed	Rafi	male	0.78	55
9	EMBOJ-2014-90786	Dumstrei, Karin	Revise and Re-review	Rafi Ahmed,Mark Smyth	Mark Smyth	Mark	male	1	6176
10	EMBOJ-2014-90791	Dumstrei, Karin	Revise and Re-review	Florent Ginhoux	Florent Ginhoux	Florent	male	1	160
11	EMBOJ-2014-90793	Dumstrei, Karin	Reject post review	Nicolas Demaurex,Reinhold Penner,Thierry Soldati	Nicolas Demaurex	Nicolas	male	1	1953
12	EMBOJ-2014-90793	Dumstrei, Karin	Reject post review	Nicolas Demaurex,Reinhold Penner,Thierry Soldati	Reinhold Penner	Reinhold	male	1	9
13	EMBOJ-2014-90793	Dumstrei, Karin	Reject post review	Nicolas Demaurex,Reinhold Penner,Thierry Soldati	Thierry Soldati	Thierry	male	0.99	310
14	EMBOJ-2014-90808	Dumstrei, Karin	Revise and Re-review	David Rubinsztein,Lisa Ellerby,Nobuyuki Nukina	David Rubinsztein	David	male	1	12593
15	EMBOJ-2014-90808	Dumstrei, Karin	Revise and Re-review	David Rubinsztein,Lisa Ellerby,Nobuyuki Nukina	Lisa Ellerby	Lisa	female	1	6394
16	EMBOJ-2014-90808	Dumstrei, Karin	Revise and Re-review	David Rubinsztein,Lisa Ellerby,Nobuyuki Nukina	Nobuyuki Nukina	Nobuyuki	male	1	6
17	EMBOJ-2014-90867	Dumstrei, Karin	Reject post review	Francis Chan,Paolo Dellabona,David Wallach	Francis Chan	Francis	male	0.89	680
18	EMBOJ-2014-90867	Dumstrei, Karin	Reject post review	Francis Chan,Paolo Dellabona,David Wallach	Paolo Dellabona	Paolo	male	0.99	781
19	EMBOJ-2014-90867	Dumstrei, Karin	Reject post review	Francis Chan,Paolo Dellabona,David Wallach	David Wallach	David	male	1	12593
20	EMBOJ-2015-90962	Dumstrei, Karin	Reject post review	Walter Witke,Silvio Rizzoli,Matthew Rasband	Walter Witke	Walter	male	1	864
21	EMBOJ-2015-90962	Dumstrei, Karin	Reject post review	Walter Witke,Silvio Rizzoli,Matthew Rasband	Silvio Rizzoli	Silvio	male	1	183
22	EMBOJ-2015-90962	Dumstrei, Karin	Reject post review	Walter Witke,Silvio Rizzoli,Matthew Rasband	Matthew Rasband	Matthew	male	1	3338
23	EMBOJ-2015-91020	Dumstrei, Karin	Reject post review	Vishva Dixit,Zhaoyu Li,David Wallach	Vishva Dixit	Vishva	male	1	2
24	EMBOJ-2015-91020	Dumstrei, Karin	Reject post review	Vishva Dixit,Zhaoyu Li,David Wallach	Zhaoyu Li	Zhaoyu	male	1	1
25	EMBOJ-2015-91020	Dumstrei, Karin	Reject post review	Vishva Dixit,Zhaoyu Li,David Wallach	David Wallach	David	male	1	12593
26	EMBOJ-2015-91118	Dumstrei, Karin	Revise and Re-review	Anna Lasorella,Minoree Kohwi,David Rowitch	Anna Lasorella	Anna	female	1	4755
27	EMBOJ-2015-91118	Dumstrei, Karin	Revise and Re-review	Anna Lasorella,Minoree Kohwi,David Rowitch	Minoree Kohwi	Minoree	None	NA	NA
28	EMBOJ-2015-91118	Dumstrei, Karin	Revise and Re-review	Anna Lasorella,Minoree Kohwi,David Rowitch	David Rowitch	David	male	1	12593
29	EMBOJ-2015-91181	Dumstrei, Karin	Reject post review	Philip Barker,Thomas Gillingwater	Philip Barker	Philip	male	1	1097
30	EMBOJ-2015-91181	Dumstrei, Karin	Reject post review	Philip Barker,Thomas Gillingwater	Thomas Gillingwater	Thomas	male	1	3753
31	EMBOJ-2015-91348	Dumstrei, Karin	Revise and Re-review	Benedikt Berninger,Ana Martin-Villalba,Sebastian Jessberger	Benedikt Berninger	Benedikt	male	1	26
32	EMBOJ-2015-91348	Dumstrei, Karin	Revise and Re-review	Benedikt Berninger,Ana Martin-Villalba,Sebastian Jessberger	Ana Martin-Villalba	Ana	female	0.99	3621
33	EMBOJ-2015-91348	Dumstrei, Karin	Revise and Re-review	Benedikt Berninger,Ana Martin-Villalba,Sebastian Jessberger	Sebastian Jessberger	Sebastian	male	1	1459
34	EMBOJ-2015-91397	Dumstrei, Karin	Revise and Re-review	Philipp Kahle,Ted Dawson,Peter-Christian Kloehn	Philipp Kahle	Philipp	male	1	205
