unique_id	Manuscript	Editor	Final.Decision.Type	referees_clean	indiv_referees	name	gender	probability	count
1	EMBOJ-2016-96198	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Julian Lescar,Rolf Hilgenfeld	Julian Lescar	Julian	male	1	1079
2	EMBOJ-2016-96198	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Julian Lescar,Rolf Hilgenfeld	Rolf Hilgenfeld	Rolf	male	1	114
3	EMBOJ-2016-96202	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Stephen Harrison,Yoshihiro Kawaoka	Stephen Harrison	Stephen	male	1	2608
4	EMBOJ-2016-96202	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Stephen Harrison,Yoshihiro Kawaoka	Yoshihiro Kawaoka	Yoshihiro	male	1	7
5	EMBOJ-2016-96241	Dumstrei, Karin	Revise and Re-review	Rolf Hilgenfeld,Julian Lescar	Rolf Hilgenfeld	Rolf	male	1	114
6	EMBOJ-2016-96241	Dumstrei, Karin	Revise and Re-review	Rolf Hilgenfeld,Julian Lescar	Julian Lescar	Julian	male	1	1079
7	EMBOJ-2016-96273	Dumstrei, Karin	Revise and Re-review	John Hiscott,Anne op de Beeck,Michael Gale Jr.	John Hiscott	John	male	0.99	9931
8	EMBOJ-2016-96273	Dumstrei, Karin	Revise and Re-review	John Hiscott,Anne op de Beeck,Michael Gale Jr.	Anne op de Beeck	Anne op de	None	NA	NA
9	EMBOJ-2016-96273	Dumstrei, Karin	Revise and Re-review	John Hiscott,Anne op de Beeck,Michael Gale Jr.	Michael Gale Jr.	Michael Gale	None	NA	NA
10	EMBOJ-2016-96296	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Anthony Sadler,Jiyan Ma,Michael Lee	Anthony Sadler	Anthony	male	1	3029
11	EMBOJ-2016-96296	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Anthony Sadler,Jiyan Ma,Michael Lee	Jiyan Ma	Jiyan	female	1	1
12	EMBOJ-2016-96296	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Anthony Sadler,Jiyan Ma,Michael Lee	Michael Lee	Michael	male	1	11094
13	EMBOJ-2016-96317	Dumstrei, Karin	Reject post review	Russell Wallis,Gregers Andersen,Alain Beck	Russell Wallis	Russell	male	1	513
14	EMBOJ-2016-96317	Dumstrei, Karin	Reject post review	Russell Wallis,Gregers Andersen,Alain Beck	Gregers Andersen	Gregers	male	1	1
15	EMBOJ-2016-96317	Dumstrei, Karin	Reject post review	Russell Wallis,Gregers Andersen,Alain Beck	Alain Beck	Alain	male	1	482
16	EMBOJ-2016-96369	Dumstrei, Karin	Revise and Re-review	Vadim Bolshakov,Makoto Tominaga,Wolfgang Liedtke	Vadim Bolshakov	Vadim	male	1	58
17	EMBOJ-2016-96369	Dumstrei, Karin	Revise and Re-review	Vadim Bolshakov,Makoto Tominaga,Wolfgang Liedtke	Makoto Tominaga	Makoto	male	1	28
