unique_id	Manuscript	Editor	Final.Decision.Type	referees_clean	indiv_referees	name	gender	probability	count
1	EMBOJ-2015-93518	Dumstrei, Karin	Revise and Re-review	Eva-Maria Mandelkow ,Jurgen Gotz	Eva-Maria Mandelkow 	Eva-Maria	female	1	6
2	EMBOJ-2015-93518	Dumstrei, Karin	Revise and Re-review	Eva-Maria Mandelkow ,Jurgen Gotz	Jurgen Gotz	Jurgen	male	0.97	36
3	EMBOJ-2015-93565	Dumstrei, Karin	Revise and Re-review	Karen Avraham,Stephen High,Ramanujan Hegde	Karen Avraham	Karen	female	1	5462
4	EMBOJ-2015-93565	Dumstrei, Karin	Revise and Re-review	Karen Avraham,Stephen High,Ramanujan Hegde	Stephen High	Stephen	male	1	2608
5	EMBOJ-2015-93565	Dumstrei, Karin	Revise and Re-review	Karen Avraham,Stephen High,Ramanujan Hegde	Ramanujan Hegde	Ramanujan	None	NA	NA
6	EMBOJ-2015-93585	Dumstrei, Karin	Revise and Re-review	Alfred Goldberg,Helene Plun-Favreau	Alfred Goldberg	Alfred	male	1	230
7	EMBOJ-2015-93585	Dumstrei, Karin	Revise and Re-review	Alfred Goldberg,Helene Plun-Favreau	Helene Plun-Favreau	Helene	female	1	255
8	EMBOJ-2015-93623	Dumstrei, Karin	Reject post review	Henning Walczak,Ted Dawson,Olga Corti	Henning Walczak	Henning	male	1	77
9	EMBOJ-2015-93623	Dumstrei, Karin	Reject post review	Henning Walczak,Ted Dawson,Olga Corti	Ted Dawson	Ted	male	1	376
10	EMBOJ-2015-93623	Dumstrei, Karin	Reject post review	Henning Walczak,Ted Dawson,Olga Corti	Olga Corti	Olga	female	1	898
11	EMBOJ-2015-93663	Dumstrei, Karin	Reject post review	Mala Shah,Kai Kaila	Mala Shah	Mala	female	0.97	33
12	EMBOJ-2015-93663	Dumstrei, Karin	Reject post review	Mala Shah,Kai Kaila	Kai Kaila	Kai	male	0.87	207
13	EMBOJ-2015-93673	Dumstrei, Karin	Revise only	Thilo Stehle,Susan Lea,Menno van Lookeren Campagne	Thilo Stehle	Thilo	male	1	11
14	EMBOJ-2015-93673	Dumstrei, Karin	Revise only	Thilo Stehle,Susan Lea,Menno van Lookeren Campagne	Susan Lea	Susan	female	1	3203
15	EMBOJ-2015-93673	Dumstrei, Karin	Revise only	Thilo Stehle,Susan Lea,Menno van Lookeren Campagne	Menno van Lookeren Campagne	Menno van Lookeren	None	NA	NA
16	EMBOJ-2015-93713	Dumstrei, Karin	Reject post review	Reed B. Wickner,Alexis Rohou,Claudio Soto	Reed B. Wickner	Reed B.	None	NA	NA
17	EMBOJ-2015-93713	Dumstrei, Karin	Reject post review	Reed B. Wickner,Alexis Rohou,Claudio Soto	Alexis Rohou	Alexis	male	0.52	1224
18	EMBOJ-2015-93713	Dumstrei, Karin	Reject post review	Reed B. Wickner,Alexis Rohou,Claudio Soto	Claudio Soto	Claudio	male	1	854
19	EMBOJ-2015-93725	Dumstrei, Karin	Revise and Re-review	Diogo Castro,Vania Broccoli	Diogo Castro	Diogo	male	0.99	102
20	EMBOJ-2015-93725	Dumstrei, Karin	Revise and Re-review	Diogo Castro,Vania Broccoli	Vania Broccoli	Vania	female	0.98	120
21	EMBOJ-2015-93744	Dumstrei, Karin	Revise and Re-Review - Border Line Reject	Søren Paludan,Osamu Takeuchi	Søren Paludan	Søren	male	1	148
22	EMBOJ-2015-93744	Dumstrei, Karin	Revise and Re-Review - Border Line Reject	Søren Paludan,Osamu Takeuchi	Osamu Takeuchi	Osamu	male	1	3
23	EMBOJ-2016-93801	Dumstrei, Karin	Revise and Re-review	Marco Colonna,Michael Sieweke	Marco Colonna	Marco	male	0.99	2493
24	EMBOJ-2016-93801	Dumstrei, Karin	Revise and Re-review	Marco Colonna,Michael Sieweke	Michael Sieweke	Michael	male	1	11094
25	EMBOJ-2016-93979	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Amantha Thathiah,Harald Steiner	Amantha Thathiah	Amantha	None	NA	NA
26	EMBOJ-2016-93979	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Amantha Thathiah,Harald Steiner	Harald Steiner	Harald	male	1	80
27	EMBOJ-2016-94042	Dumstrei, Karin	Reject post review	Federico Calegari,Keith Vance,Ulf Orom	Federico Calegari	Federico	male	1	686
28	EMBOJ-2016-94042	Dumstrei, Karin	Reject post review	Federico Calegari,Keith Vance,Ulf Orom	Keith Vance	Keith	male	0.99	1417
29	EMBOJ-2016-94042	Dumstrei, Karin	Reject post review	Federico Calegari,Keith Vance,Ulf Orom	Ulf Orom	Ulf	male	1	71
30	EMBOJ-2016-94060	Dumstrei, Karin	Revise and Re-review	Søren Paludan,Jae U Jung	Søren Paludan	Søren	male	1	148
31	EMBOJ-2016-94060	Dumstrei, Karin	Revise and Re-review	Søren Paludan,Jae U Jung	Jae U Jung	Jae U	None	NA	NA
32	EMBOJ-2016-94085	Dumstrei, Karin	Revise and Re-review	Yasunori Hayashi,Yueming Li	Yasunori Hayashi	Yasunori	None	NA	NA
33	EMBOJ-2016-94085	Dumstrei, Karin	Revise and Re-review	Yasunori Hayashi,Yueming Li	Yueming Li	Yueming	None	NA	NA
34	EMBOJ-2016-94177	Dumstrei, Karin	Revise and Re-review	Hidde Ploegh,Pavel Tolar,Julie Zikherman	Hidde Ploegh	Hidde	male	1	2
35	EMBOJ-2016-94177	Dumstrei, Karin	Revise and Re-review	Hidde Ploegh,Pavel Tolar,Julie Zikherman	Pavel Tolar	Pavel	male	0.99	198
36	EMBOJ-2016-94177	Dumstrei, Karin	Revise and Re-review	Hidde Ploegh,Pavel Tolar,Julie Zikherman	Julie Zikherman	Julie	female	1	4260
37	EMBOJ-2016-94202	Dumstrei, Karin	Accept	Roman Giger	Roman Giger	Roman	male	1	449
38	EMBOJ-2016-94221	Dumstrei, Karin	Revise and Re-review	Albert La Spada,Francisco Baralle	Albert La Spada	Albert La	None	NA	NA
39	EMBOJ-2016-94221	Dumstrei, Karin	Revise and Re-review	Albert La Spada,Francisco Baralle	Francisco Baralle	Francisco	male	1	1513
40	EMBOJ-2016-94301	Dumstrei, Karin	Reject post review	Federico Calegari,Angel Barco,Ted Abel	Federico Calegari	Federico	male	1	686
41	EMBOJ-2016-94301	Dumstrei, Karin	Reject post review	Federico Calegari,Angel Barco,Ted Abel	Angel Barco	Angel	male	0.61	1668
42	EMBOJ-2016-94301	Dumstrei, Karin	Reject post review	Federico Calegari,Angel Barco,Ted Abel	Ted Abel	Ted	male	1	376
43	EMBOJ-2016-94335	Dumstrei, Karin	Revise and Re-review	Olivier Schwartz,Vigo Heissmeyer	Olivier Schwartz	Olivier	male	0.99	715
44	EMBOJ-2016-94335	Dumstrei, Karin	Revise and Re-review	Olivier Schwartz,Vigo Heissmeyer	Vigo Heissmeyer	Vigo	male	1	2
45	EMBOJ-2016-94348	Dumstrei, Karin	Reject post review	Richard Carthew,Maria-Carla Saleh,Yukihide Tomari	Richard Carthew	Richard	male	1	4381
46	EMBOJ-2016-94348	Dumstrei, Karin	Reject post review	Richard Carthew,Maria-Carla Saleh,Yukihide Tomari	Maria-Carla Saleh	Maria-Carla	None	NA	NA
47	EMBOJ-2016-94348	Dumstrei, Karin	Reject post review	Richard Carthew,Maria-Carla Saleh,Yukihide Tomari	Yukihide Tomari	Yukihide	None	NA	NA
48	EMBOJ-2016-94375	Dumstrei, Karin	Reject post review	Olivera Francetic,Michael Koomey,Jeremy Derrick	Olivera Francetic	Olivera	female	0.95	20
49	EMBOJ-2016-94375	Dumstrei, Karin	Reject post review	Olivera Francetic,Michael Koomey,Jeremy Derrick	Michael Koomey	Michael	male	1	11094
50	EMBOJ-2016-94375	Dumstrei, Karin	Reject post review	Olivera Francetic,Michael Koomey,Jeremy Derrick	Jeremy Derrick	Jeremy	male	0.99	1840
51	EMBOJ-2016-94379	Dumstrei, Karin	Reject post review	Jiri Bartek,Peter Adams,Marco Demaria	Jiri Bartek	Jiri	male	1	20
52	EMBOJ-2016-94379	Dumstrei, Karin	Reject post review	Jiri Bartek,Peter Adams,Marco Demaria	Peter Adams	Peter	male	1	4373
53	EMBOJ-2016-94379	Dumstrei, Karin	Reject post review	Jiri Bartek,Peter Adams,Marco Demaria	Marco Demaria	Marco	male	0.99	2493
54	EMBOJ-2016-94401	Dumstrei, Karin	Revise and Re-review	Luc Dupuis,Fen-Biao Gao	Luc Dupuis	Luc	male	0.97	258
55	EMBOJ-2016-94401	Dumstrei, Karin	Revise and Re-review	Luc Dupuis,Fen-Biao Gao	Fen-Biao Gao	Fen-Biao	None	NA	NA
56	EMBOJ-2016-94414	Dumstrei, Karin	Reject post review	Stuart Neil,Paul Kellam,Ariberto Fassati	Stuart Neil	Stuart	male	0.99	759
57	EMBOJ-2016-94414	Dumstrei, Karin	Reject post review	Stuart Neil,Paul Kellam,Ariberto Fassati	Paul Kellam	Paul	male	1	5931
58	EMBOJ-2016-94414	Dumstrei, Karin	Reject post review	Stuart Neil,Paul Kellam,Ariberto Fassati	Ariberto Fassati	Ariberto	None	NA	NA
59	EMBOJ-2016-94471	Dumstrei, Karin	Reject post review	Florent Ginhoux,Kim Nicholas Green	Florent Ginhoux	Florent	male	1	160
60	EMBOJ-2016-94471	Dumstrei, Karin	Reject post review	Florent Ginhoux,Kim Nicholas Green	Kim Nicholas Green	Kim Nicholas	None	NA	NA
61	EMBOJ-2016-94508	Dumstrei, Karin	Reject post review	Clotilde Thery,Jesus Avila,Chad Dickey	Clotilde Thery	Clotilde	female	1	31
62	EMBOJ-2016-94508	Dumstrei, Karin	Reject post review	Clotilde Thery,Jesus Avila,Chad Dickey	Jesus Avila	Jesus	male	0.98	1071
63	EMBOJ-2016-94508	Dumstrei, Karin	Reject post review	Clotilde Thery,Jesus Avila,Chad Dickey	Chad Dickey	Chad	male	1	1028
64	EMBOJ-2016-94520	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Pierre Drapeau,Samuel Pfaff	Pierre Drapeau	Pierre	male	0.99	852
65	EMBOJ-2016-94520	Dumstrei, Karin	Reject Post Review - 2 Reviewers	Pierre Drapeau,Samuel Pfaff	Samuel Pfaff	Samuel	male	1	1409
66	EMBOJ-2016-94526	Dumstrei, Karin	Revise and Re-review	Johannes Hell,Peter Penzes,Elizabeth Miller	Johannes Hell	Johannes	male	1	198
67	EMBOJ-2016-94526	Dumstrei, Karin	Revise and Re-review	Johannes Hell,Peter Penzes,Elizabeth Miller	Peter Penzes	Peter	male	1	4373
68	EMBOJ-2016-94526	Dumstrei, Karin	Revise and Re-review	Johannes Hell,Peter Penzes,Elizabeth Miller	Elizabeth Miller	Elizabeth	female	1	3508
69	EMBOJ-2016-94564	Dumstrei, Karin	Revise and Re-review	Gabriel Corfas,Karen Avraham	Gabriel Corfas	Gabriel	male	0.99	1674
70	EMBOJ-2016-94564	Dumstrei, Karin	Revise and Re-review	Gabriel Corfas,Karen Avraham	Karen Avraham	Karen	female	1	5462
71	EMBOJ-2016-94591	Dumstrei, Karin	Revise and Re-review	Knut Biber,V. Hugh Perry,Tony Wyss-Coray	Knut Biber	Knut	male	1	71
72	EMBOJ-2016-94591	Dumstrei, Karin	Revise and Re-review	Knut Biber,V. Hugh Perry,Tony Wyss-Coray	V. Hugh Perry	V. Hugh	None	NA	NA
73	EMBOJ-2016-94591	Dumstrei, Karin	Revise and Re-review	Knut Biber,V. Hugh Perry,Tony Wyss-Coray	Tony Wyss-Coray	Tony	male	1	3071
74	EMBOJ-2016-94615	Dumstrei, Karin	Revise and Re-review	Roland Liblau,Alexandre Prat,Vijay Kuchroo	Roland Liblau	Roland	male	1	255
75	EMBOJ-2016-94615	Dumstrei, Karin	Revise and Re-review	Roland Liblau,Alexandre Prat,Vijay Kuchroo	Alexandre Prat	Alexandre	male	1	899
76	EMBOJ-2016-94615	Dumstrei, Karin	Revise and Re-review	Roland Liblau,Alexandre Prat,Vijay Kuchroo	Vijay Kuchroo	Vijay	male	0.98	319
77	EMBOJ-2016-94654	Dumstrei, Karin	Reject post review	Yuka Kanno,M. Lienhard Schmitz,Ruaidhri Carmody	Yuka Kanno	Yuka	female	0.98	43
78	EMBOJ-2016-94654	Dumstrei, Karin	Reject post review	Yuka Kanno,M. Lienhard Schmitz,Ruaidhri Carmody	M. Lienhard Schmitz	M. Lienhard	None	NA	NA
79	EMBOJ-2016-94654	Dumstrei, Karin	Reject post review	Yuka Kanno,M. Lienhard Schmitz,Ruaidhri Carmody	Ruaidhri Carmody	Ruaidhri	None	NA	NA
80	EMBOJ-2016-94695	Dumstrei, Karin	Revise and Re-review	Yongning He,Bernard Malissen	Yongning He	Yongning	None	NA	NA
81	EMBOJ-2016-94695	Dumstrei, Karin	Revise and Re-review	Yongning He,Bernard Malissen	Bernard Malissen	Bernard	male	1	397
82	EMBOJ-2016-94696	Dumstrei, Karin	Revise and Re-review	Clare Bryant,Vishva Dixit,Brad T. Cookson,Ana Garcia-Saez	Clare Bryant	Clare	female	1	554
83	EMBOJ-2016-94696	Dumstrei, Karin	Revise and Re-review	Clare Bryant,Vishva Dixit,Brad T. Cookson,Ana Garcia-Saez	Vishva Dixit	Vishva	male	1	2
84	EMBOJ-2016-94696	Dumstrei, Karin	Revise and Re-review	Clare Bryant,Vishva Dixit,Brad T. Cookson,Ana Garcia-Saez	Brad T. Cookson	Brad T.	None	NA	NA
85	EMBOJ-2016-94696	Dumstrei, Karin	Revise and Re-review	Clare Bryant,Vishva Dixit,Brad T. Cookson,Ana Garcia-Saez	Ana Garcia-Saez	Ana	female	0.99	3621
86	EMBOJ-2016-94732	Dumstrei, Karin	Revise and Re-review	Walter Kolch,Leonard Foster,Shiva Malek	Walter Kolch	Walter	male	1	864
87	EMBOJ-2016-94732	Dumstrei, Karin	Revise and Re-review	Walter Kolch,Leonard Foster,Shiva Malek	Leonard Foster	Leonard	male	1	201
88	EMBOJ-2016-94732	Dumstrei, Karin	Revise and Re-review	Walter Kolch,Leonard Foster,Shiva Malek	Shiva Malek	Shiva	male	0.79	68
